ASIN,Price,Operating System,Processor_Cleaned,GPU_Model,Graphics_Size,Model,G3d_mark,G2d_mark,GPU_Tdp,Category,Screen_Size_Inch,Battery_Value,Weight_KG,Memory Technology,Cores,Cpu_mark,Thread_mark,CPU_Tdp,Socket,Storage,Memory,Brand,Memory_speed
B0CYLXZ28F,97590.0,"Windows 11 Home Single Language, English",Intel Core Ultra 7 155H,,,,,,,,14.0,64.0,1.6,LPDDR5X,16,24956,3548,28.0,Unknown,1024,16,Dell,6400
B0C1595WPW,66418.0,"Windows 11 Home Single Language, English",Intel Core i5-1335U,,,,,,,,14.0,54.0,1.531,LPDDR5,10,15994,3523,15.0,FCBGA1744,512,16,Dell,4800
B0CJK16WZV,43750.0,"Windows 11 Home Single Language, English",Intel Core i3-1305U,,,,,,,,15.6,41.0,1.62,DDR4,5,8989,3260,15.0,FCBGA1744,512,8,Dell,2666
B0C9F62HN5,40990.0,"Windows 11 Home Single Language, English",AMD Ryzen 5 7520U,,,,,,,,15.6,41.0,1.63,LPDDR5,4,9309,2497,15.0,FP6,512,8,Dell,5500
B0CBC9HLLC,68893.0,"Windows 11 Home Single Language, English",Intel Core i5-1335U,,,,,,,,14.0,54.0,1.531,LPDDR5,10,15994,3523,15.0,FCBGA1744,1024,16,Dell,4800
B0D6BDJFQS,52109.0,"Windows 11 Home Single Language, English",Intel Core i5-1235U,,,,,,,,15.6,41.0,1.65,DDR4,10,13416,3222,15.0,FCBGA1744,512,16,Dell,2666
B0CNZ8MDLV,38990.0,"Windows 11 Home Single Language, English",Intel Core i3-1305U,,,,,,,,15.6,41.0,1.62,DDR4,5,8989,3260,15.0,FCBGA1744,512,8,Dell,2666
B0C4ZH76WC,178790.0,"Windows 11 Home Single Language, English",Intel Core i9-13900HX,RTX 4060,8GB,GeForce RTX 4060,19577.0,1012.0,115.0,Desktop,16.0,86.0,2.99,DDR5,24,44594,4148,55.0,FCBGA1964,1024,16,Dell,4800
B0C4ZNZ14D,165190.0,"Windows 11 Home Single Language, English",Intel Core i7-13650HX,RTX 4060,8GB,GeForce RTX 4060,19577.0,1012.0,115.0,Desktop,16.0,86.0,2.99,DDR5,14,31686,3834,55.0,FCBGA1964,1024,32,Dell,4800
B0CDBN7CNH,195590.0,"Windows 11 Home Single Language, English",Intel Core i9-13900HX,RTX 4070,8GB,GeForce RTX 4070,27005.0,1119.0,200.0,Desktop,16.0,86.0,2.99,DDR5,24,44594,4148,55.0,FCBGA1964,1024,16,Dell,4800
B0CN1L7XS2,148690.0,"Windows 11 Home Single Language, English",Intel Core i9-13900HX,RTX 4060,8GB,GeForce RTX 4060,19577.0,1012.0,115.0,Desktop,15.6,86.0,2.81,DDR5,24,44594,4148,55.0,FCBGA1964,1024,16,Dell,4800
B0C4ZH76WC,178790.0,"Windows 11 Home Single Language, English",Intel Core i9-13900HX,RTX 4060,8GB,GeForce RTX 4060,19577.0,1012.0,115.0,Desktop,16.0,86.0,2.99,DDR5,24,44594,4148,55.0,FCBGA1964,1024,16,Dell,4800
B0CDBPD5MX,127490.0,"Windows 11 Home Single Language, English",Intel Core i7-13650HX,RTX 4060,8GB,GeForce RTX 4060,19577.0,1012.0,115.0,Desktop,15.6,86.0,2.81,DDR5,14,31686,3834,55.0,FCBGA1964,1024,16,Dell,4800
B0C4ZV1V9V,128669.0,"Windows 11 Home Single Language, English",Intel Core i7-13650HX,RTX 4060,8GB,GeForce RTX 4060,19577.0,1012.0,115.0,Desktop,16.0,86.0,2.99,DDR5,14,31686,3834,55.0,FCBGA1964,1024,16,Dell,4800
B0CRKX3JRT,77290.0,"Windows 11 Home Single Language, English",Intel Core i5-13450HX,RTX 3050,6GB,GeForce RTX 3050 6GB Laptop GPU,10456.0,612.0,80.0,Mobile,15.6,56.0,2.81,DDR5,10,25552,3572,55.0,FCBGA1964,512,16,Dell,4800
B0CDBP1N8B,100090.0,"Windows 11 Home Single Language, English",Intel Core i7-13650HX,RTX 3050,6GB,GeForce RTX 3050 6GB Laptop GPU,10456.0,612.0,80.0,Mobile,15.6,56.0,2.81,DDR5,14,31686,3834,55.0,FCBGA1964,1024,16,Dell,4800
B0CXM14ZY7,65866.0,"Windows 11 Home Single Language, English",Intel Core i5-13450HX,RTX 3050,6GB,GeForce RTX 3050 6GB Laptop GPU,10456.0,612.0,80.0,Mobile,15.6,56.0,2.81,DDR5,10,25552,3572,55.0,FCBGA1964,1024,16,Dell,4800
B0D46Q1736,50990.0,"Windows 11 Home Single Language, English",Intel Core i5-1334U,,,,,,,,14.0,41.0,1.54,DDR5,10,14139,3475,15.0,FCBGA1744,512,8,Dell,4400
